FundingAgency,Classification
"National Metal and Materials Technology Center , Thailand",General Energy
"National Metal and Materials Technology Center , Thailand",Renewable Energy
National Center for Genetic Engineering and Biotechnology,Aquatic Science
Faculty of Dentistry Research Fund,Multidisciplinary
Faculty of Dentistry Research Fund,General Dentistry
Michigan Health Endowment Fund,General Chemical Engineering
Burapha University,Physiology
Naresuan University,Pharmaceutical Science
CNRS/IN2P3,General Physics and Astronomy
CNRS/IN2P3,Nuclear and High Energy Physics
CNRS/IN2P3,General Physics and Astronomy
CNRS/IN2P3,General Physics and Astronomy
ThEPCenter,General Physics and Astronomy
ThEPCenter,General Physics and Astronomy
ThEPCenter,General Physics and Astronomy
CSF,General Physics and Astronomy
CSF,Nuclear and High Energy Physics
CSF,General Physics and Astronomy
CSF,General Physics and Astronomy
California Earthquake Authority,General Physics and Astronomy
California Earthquake Authority,Nuclear and High Energy Physics
California Earthquake Authority,Nuclear and High Energy Physics
California Earthquake Authority,General Physics and Astronomy
California Earthquake Authority,General Physics and Astronomy
California Earthquake Authority,Nuclear and High Energy Physics
CAS,General Physics and Astronomy
CAS,General Physics and Astronomy
CAS,General Physics and Astronomy
NSC,General Physics and Astronomy
NSC,General Physics and Astronomy
NSC,General Physics and Astronomy
Mountain Equipment Co-op,General Physics and Astronomy
Mountain Equipment Co-op,Nuclear and High Energy Physics
Mountain Equipment Co-op,General Physics and Astronomy
Mountain Equipment Co-op,General Physics and Astronomy
Royal Astronomical Society,General Physics and Astronomy
Royal Astronomical Society,Nuclear and High Energy Physics
Royal Astronomical Society,General Physics and Astronomy
Royal Astronomical Society,General Physics and Astronomy
Ministry for Business Innovation and Employment,General Physics and Astronomy
Ministry for Business Innovation and Employment,Nuclear and High Energy Physics
Ministry for Business Innovation and Employment,Nuclear and High Energy Physics
Ministry for Business Innovation and Employment,General Physics and Astronomy
Ministry for Business Innovation and Employment,General Physics and Astronomy
"Department of Science and Technology, Government of West Bengal",General Physics and Astronomy
"Department of Science and Technology, Government of West Bengal",Nuclear and High Energy Physics
"Department of Science and Technology, Government of West Bengal",General Physics and Astronomy
"Department of Science and Technology, Government of West Bengal",General Physics and Astronomy
"Department of Science and Technology, Government of West Bengal",Nuclear and High Energy Physics
Drum-mond Fund,Ecology
Andrew W. Mellon Foundation,Ecology
"Gonville & Caius College, Cambridge",Ecology
Polish National Science Centre,Physics and Astronomy (miscellaneous)
"Northern Resources, Chiang Mai University",Multidisciplinary
"Northern Resources, Chiang Mai University",Insect Science
"Northern Resources, Chiang Mai University",Multidisciplinary
DFG,Nuclear and High Energy Physics
DFG,Nuclear and High Energy Physics
SFI,Nuclear and High Energy Physics
SFI,Nuclear and High Energy Physics
SFI,Nuclear and High Energy Physics
SFI,Nuclear and High Energy Physics
Norsk Sykepleierforbund,Nuclear and High Energy Physics
Ministério da Educação,Nuclear and High Energy Physics
BMBF,Nuclear and High Energy Physics
BMBF,Nuclear and High Energy Physics
BMBF,Nuclear and High Energy Physics
BMBF,Nuclear and High Energy Physics
Medical Association of Thailand,General Medicine
Prasert Prasarttong—Osoth Research Foundation,General Medicine
"Faculty of Medicine, Chulalongkorn University, Thailand",Biomedical Engineering
"Faculty of Medicine, Chulalongkorn University, Thailand",Multidisciplinary
"Faculty of Medicine, Chulalongkorn University, Thailand",General Physics and Astronomy
"Faculty of Medicine, Chulalongkorn University, Thailand",Ophthalmology
"Faculty of Medicine, Chulalongkorn University, Thailand",Geriatrics and Gerontology
"Faculty of Medicine, Chulalongkorn University, Thailand",General Veterinary
"Faculty of Medicine, Chulalongkorn University, Thailand",Obstetrics and Gynecology
"Faculty of Medicine, Chulalongkorn University, Thailand",General Medicine
"Faculty of Medicine, Chulalongkorn University, Thailand",Economics and Econometrics
"Faculty of Medicine, Chulalongkorn University, Thailand",General Medicine
"Faculty of Medicine, Chulalongkorn University, Thailand",Dermatology
"Faculty of Medicine, Chulalongkorn University, Thailand",Pediatrics
"Faculty of Medicine, Chulalongkorn University, Thailand",Dermatology
"Faculty of Medicine, Chulalongkorn University, Thailand",Otorhinolaryngology
"Faculty of Medicine, Chulalongkorn University, Thailand",Multidisciplinary
"Faculty of Medicine, Chulalongkorn University, Thailand",Multidisciplinary
"Faculty of Medicine, Chulalongkorn University, Thailand",Multidisciplinary
"Faculty of Medicine, Chulalongkorn University, Thailand",Multidisciplinary
"Faculty of Medicine, Chulalongkorn University, Thailand",Public Health
"Faculty of Medicine, Chulalongkorn University, Thailand",Radiology
"Faculty of Medicine, Chulalongkorn University, Thailand",Hematology
"Faculty of Medicine, Chulalongkorn University, Thailand",Critical Care and Intensive Care Medicine
"Faculty of Medicine, Chulalongkorn University, Thailand",General Physics and Astronomy
"Faculty of Medicine, Chulalongkorn University, Thailand",Complementary and Alternative Medicine
"Faculty of Medicine, Chulalongkorn University, Thailand",Multidisciplinary
"Faculty of Medicine, Chulalongkorn University, Thailand",Medicine (miscellaneous)
"Faculty of Medicine, Chulalongkorn University, Thailand",General Medicine
"Faculty of Medicine, Chulalongkorn University, Thailand",Multidisciplinary
"Faculty of Medicine, Chulalongkorn University, Thailand",General Neuroscience
"Faculty of Medicine, Chulalongkorn University, Thailand",Multidisciplinary
Crown Property Bureau of Thailand,General Materials Science
Development and Promotion of Science and Technology Talents Project,Multidisciplinary
Development and Promotion of Science and Technology Talents Project,General Physics and Astronomy
Development and Promotion of Science and Technology Talents Project,Multidisciplinary
Development and Promotion of Science and Technology Talents Project,Multidisciplinary
Shaanxi Science Fund for Distinguished Young Scholars,Multidisciplinary
EU Marie Curie,Multidisciplinary
EU Marie Curie,General Engineering
EU Marie Curie,General Medicine
Ministry of Education,Multidisciplinary
MoST,Multidisciplinary
MoST,Nuclear and High Energy Physics
MoST,Nuclear and High Energy Physics
MoST,Nuclear and High Energy Physics
VR,Multidisciplinary
Youth Innovation Promotion Association of Chinese Academy of Sciences,Multidisciplinary
National Taiwan University,Multidisciplinary
National Key Research Program of China,Multidisciplinary
National Key Research Program of China,Genetics
Shaanxi Science Fund for Distinguished Young Scholars,Multidisciplinary
Siriraj Research Fund,Multidisciplinary
Siriraj Research Fund,Surgery
Siriraj Hospital,Multidisciplinary
Siriraj Hospital,Surgery
Siriraj Hospital,Pharmacology (medical)
Science Achievement Scholarship of Thailand,General Physics and Astronomy
Science Achievement Scholarship of Thailand,Inorganic Chemistry
Science Achievement Scholarship of Thailand,Nuclear and High Energy Physics
Science Achievement Scholarship of Thailand,Analytical Chemistry
Science Achievement Scholarship of Thailand,General Physics and Astronomy
Science Achievement Scholarship of Thailand,Multidisciplinary
Science Achievement Scholarship of Thailand,General Materials Science
,Multidisciplinary
SAST,General Physics and Astronomy
SAST,Inorganic Chemistry
SAST,Nuclear and High Energy Physics
SAST,Analytical Chemistry
SAST,General Physics and Astronomy
SAST,General Materials Science
Synchrotron Light Research Institute,Renewable Energy
Pacific Society of Respirology,General Biochemistry
Excellence of Science,Nuclear and High Energy Physics
Excellence of Science,Nuclear and High Energy Physics
Excellence of Science,Nuclear and High Energy Physics
Excellence of Science,Nuclear and High Energy Physics
Excellence of Science,Nuclear and High Energy Physics
Excellence of Science,Nuclear and High Energy Physics
Excellence of Science,Nuclear and High Energy Physics
Excellence of Science,Nuclear and High Energy Physics
Excellence of Science,Nuclear and High Energy Physics
Excellence of Science,Nuclear and High Energy Physics
Excellence of Science,Nuclear and High Energy Physics
Excellence of Science,Nuclear and High Energy Physics
Excellence of Science,Nuclear and High Energy Physics
Excellence of Science,Nuclear and High Energy Physics
Excellence of Science,Nuclear and High Energy Physics
Excellence of Science,Nuclear and High Energy Physics
Excellence of Science,Nuclear and High Energy Physics
Programa Estatal de Fomento de la Inves-tigación Científica y Técnica de Excelencia María de Maeztu,Nuclear and High Energy Physics
Programa Estatal de Fomento de la Inves-tigación Científica y Técnica de Excelencia María de Maeztu,Nuclear and High Energy Physics
Programa Estatal de Fomento de la Inves-tigación Científica y Técnica de Excelencia María de Maeztu,Nuclear and High Energy Physics
Programa Estatal de Fomento de la Inves-tigación Científica y Técnica de Excelencia María de Maeztu,Nuclear and High Energy Physics
Programa Estatal de Fomento de la Inves-tigación Científica y Técnica de Excelencia María de Maeztu,Nuclear and High Energy Physics
Programa Estatal de Fomento de la Inves-tigación Científica y Técnica de Excelencia María de Maeztu,Nuclear and High Energy Physics
Programa Estatal de Fomento de la Inves-tigación Científica y Técnica de Excelencia María de Maeztu,Nuclear and High Energy Physics
Programa Estatal de Fomento de la Inves-tigación Científica y Técnica de Excelencia María de Maeztu,Nuclear and High Energy Physics
Programa Estatal de Fomento de la Inves-tigación Científica y Técnica de Excelencia María de Maeztu,Nuclear and High Energy Physics
Programa Estatal de Fomento de la Inves-tigación Científica y Técnica de Excelencia María de Maeztu,Nuclear and High Energy Physics
Programa Estatal de Fomento de la Inves-tigación Científica y Técnica de Excelencia María de Maeztu,Nuclear and High Energy Physics
Programa Estatal de Fomento de la Inves-tigación Científica y Técnica de Excelencia María de Maeztu,Nuclear and High Energy Physics
Programa Estatal de Fomento de la Inves-tigación Científica y Técnica de Excelencia María de Maeztu,Nuclear and High Energy Physics
Programa Estatal de Fomento de la Inves-tigación Científica y Técnica de Excelencia María de Maeztu,Nuclear and High Energy Physics
Programa Estatal de Fomento de la Inves-tigación Científica y Técnica de Excelencia María de Maeztu,Nuclear and High Energy Physics
Programa Estatal de Fomento de la Inves-tigación Científica y Técnica de Excelencia María de Maeztu,Nuclear and High Energy Physics
Programa Estatal de Fomento de la Inves-tigación Científica y Técnica de Excelencia María de Maeztu,Nuclear and High Energy Physics
NSF,Nuclear and High Energy Physics
NSF,Nuclear and High Energy Physics
HGF,Nuclear and High Energy Physics
HGF,Nuclear and High Energy Physics
HGF,Nuclear and High Energy Physics
"Center for Advanced Study, University of Illinois at Urbana-Champaign",Nuclear and High Energy Physics
Fuel Cell Technologies Office,Nuclear and High Energy Physics
University of Manitoba,Nuclear and High Energy Physics
Hungarian Academy of Sciences,Nuclear and High Energy Physics
Hungarian Academy of Sciences,Nuclear and High Energy Physics
Hungarian Academy of Sciences,Nuclear and High Energy Physics
Hungarian Academy of Sciences,Nuclear and High Energy Physics
Hungarian Academy of Sciences,Nuclear and High Energy Physics
Hungarian Academy of Sciences,Nuclear and High Energy Physics
Hungarian Academy of Sciences,Nuclear and High Energy Physics
Hungarian Academy of Sciences,Nuclear and High Energy Physics
Hungarian Academy of Sciences,Nuclear and High Energy Physics
Hungarian Academy of Sciences,Nuclear and High Energy Physics
Hungarian Academy of Sciences,Nuclear and High Energy Physics
Hungarian Academy of Sciences,Nuclear and High Energy Physics
Hungarian Academy of Sciences,Nuclear and High Energy Physics
Hungarian Academy of Sciences,Nuclear and High Energy Physics
Hungarian Academy of Sciences,Nuclear and High Energy Physics
Hungarian Academy of Sciences,Nuclear and High Energy Physics
Hungarian Academy of Sciences,Nuclear and High Energy Physics
MSIP,Nuclear and High Energy Physics
MSIP,Nuclear and High Energy Physics
MSIP,Nuclear and High Energy Physics
MSIP,Nuclear and High Energy Physics
"Ministry of Education, Science and Technology",Nuclear and High Energy Physics
Instituto Politécnico de Macau,Nuclear and High Energy Physics
FAPERGS,Nuclear and High Energy Physics
FAPERGS,Nuclear and High Energy Physics
FAPERGS,Nuclear and High Energy Physics
FAPERGS,General Physics and Astronomy
FAPERGS,Nuclear and High Energy Physics
FAPERGS,Nuclear and High Energy Physics
FAPERGS,General Physics and Astronomy
FAPERGS,Nuclear and High Energy Physics
FAPERGS,General Physics and Astronomy
FAPERGS,Nuclear and High Energy Physics
FAPERGS,General Physics and Astronomy
FAPERGS,Nuclear and High Energy Physics
FAPERGS,General Physics and Astronomy
FAPERGS,Nuclear and High Energy Physics
FAPERGS,Nuclear and High Energy Physics
FAPERGS,Nuclear and High Energy Physics
FAPERGS,Nuclear and High Energy Physics
Isfahan University of Technology,Nuclear and High Energy Physics
Norsk Revmatikerforbund,Nuclear and High Energy Physics
"National Research, Development and Innovation Fund",Nuclear and High Energy Physics
"National Research, Development and Innovation Fund",Nuclear and High Energy Physics
"National Research, Development and Innovation Fund",Nuclear and High Energy Physics
"National Research, Development and Innovation Fund",General Physics and Astronomy
"National Research, Development and Innovation Fund",Nuclear and High Energy Physics
"National Research, Development and Innovation Fund",Nuclear and High Energy Physics
"National Research, Development and Innovation Fund",Nuclear and High Energy Physics
"National Research, Development and Innovation Fund",Nuclear and High Energy Physics
"National Research, Development and Innovation Fund",General Physics and Astronomy
"National Research, Development and Innovation Fund",Nuclear and High Energy Physics
"National Research, Development and Innovation Fund",General Physics and Astronomy
"National Research, Development and Innovation Fund",Nuclear and High Energy Physics
"National Research, Development and Innovation Fund",General Physics and Astronomy
"National Research, Development and Innovation Fund",Nuclear and High Energy Physics
"National Research, Development and Innovation Fund",Nuclear and High Energy Physics
"National Research, Development and Innovation Fund",Nuclear and High Energy Physics
"National Research, Development and Innovation Fund",General Physics and Astronomy
"National Research, Development and Innovation Fund",General Physics and Astronomy
"National Research, Development and Innovation Fund",General Physics and Astronomy
"National Research, Development and Innovation Fund",Nuclear and High Energy Physics
"National Research, Development and Innovation Fund",Nuclear and High Energy Physics
INFN,Nuclear and High Energy Physics
INFN,Nuclear and High Energy Physics
NRC KI,Nuclear and High Energy Physics
NRC KI,Nuclear and High Energy Physics
NRC KI,Nuclear and High Energy Physics
NRC KI,General Physics and Astronomy
NRC KI,Nuclear and High Energy Physics
NRC KI,Nuclear and High Energy Physics
NRC KI,General Physics and Astronomy
NRC KI,Nuclear and High Energy Physics
NRC KI,General Physics and Astronomy
NRC KI,Nuclear and High Energy Physics
NRC KI,General Physics and Astronomy
NRC KI,Nuclear and High Energy Physics
NRC KI,General Physics and Astronomy
NRC KI,Nuclear and High Energy Physics
Arc of Memory Research Unit,Library and Information Sciences
Cultural Organization,Library and Information Sciences
Curtin University’s,Library and Information Sciences
UNESCO Technical Report FRM/CC/DBA,Library and Information Sciences
United Nations Educational,Library and Information Sciences
UNESCO,Library and Information Sciences
Novartis,General Medicine
Novartis,Cardiology and Cardiovascular Medicine
Thailand Research Foundation,Multidisciplinary
Algebra and Applications Research Unit,General Mathematics
Prince of Songkla University,General Mathematics
Prince of Songkla University,Multidisciplinary
Prince of Songkla University,Multidisciplinary
Ratchadapiseksompotch Fund,Biomedical Engineering
Ratchadapiseksompotch Fund,Ophthalmology
Ratchadapiseksompotch Fund,Geriatrics and Gerontology
Ratchadapiseksompotch Fund,Pediatrics
Ratchadapiseksompotch Fund,Multidisciplinary
Ratchadapiseksompotch Fund,Dermatology
Ratchadapiseksompotch Fund,Otorhinolaryngology
Ratchadapiseksompotch Fund,Multidisciplinary
Ratchadapiseksompotch Fund,Public Health
Ratchadapiseksompotch Fund,Hematology
Ratchadapiseksompotch Fund,Complementary and Alternative Medicine
Ratchadapiseksompotch Fund,Medicine (miscellaneous)
Ratchadapiseksompotch Fund,General Medicine
Ratchadapiseksompotch Fund,Multidisciplinary
Nation Nanotechnology Center,Drug Discovery
Rangsit University,Drug Discovery
Neurological Society of Thailand,General Medicine
Thammasat University’s Fund,General Physics and Astronomy
European Social Fund,General Psychology
European Social Fund,Genetics
Ministry of Human Capacities,General Psychology
University of Pécs,General Psychology
Ratchadaphiseksomphot Fund,Multidisciplinary
MOS,Nuclear and High Energy Physics
MOS,Nuclear and High Energy Physics
MOS,General Physics and Astronomy
MOS,Nuclear and High Energy Physics
MOS,Nuclear and High Energy Physics
MOS,General Physics and Astronomy
MOS,Nuclear and High Energy Physics
MOS,General Physics and Astronomy
MOS,Nuclear and High Energy Physics
MOS,General Physics and Astronomy
MOS,Nuclear and High Energy Physics
MOS,General Physics and Astronomy
MOS,Nuclear and High Energy Physics
MOS,Nuclear and High Energy Physics
MOS,Nuclear and High Energy Physics
MOS,Nuclear and High Energy Physics
PUT,Nuclear and High Energy Physics
PUT,Nuclear and High Energy Physics
PUT,Nuclear and High Energy Physics
MoSTR,Nuclear and High Energy Physics
MoSTR,Nuclear and High Energy Physics
MoSTR,General Physics and Astronomy
MoSTR,Nuclear and High Energy Physics
MoSTR,Nuclear and High Energy Physics
MoSTR,General Physics and Astronomy
MoSTR,Nuclear and High Energy Physics
MoSTR,General Physics and Astronomy
MoSTR,Nuclear and High Energy Physics
MoSTR,General Physics and Astronomy
MoSTR,Nuclear and High Energy Physics
MoSTR,General Physics and Astronomy
MoSTR,Nuclear and High Energy Physics
MoSTR,Nuclear and High Energy Physics
MoSTR,Nuclear and High Energy Physics
MoSTR,Nuclear and High Energy Physics
Beijing Municipal Science & Technology Commission,Nuclear and High Energy Physics
Beijing Municipal Science & Technology Commission,Nuclear and High Energy Physics
Beijing Municipal Science & Technology Commission,Nuclear and High Energy Physics
Beijing Municipal Science & Technology Commission,Nuclear and High Energy Physics
Beijing Municipal Science & Technology Commission,Nuclear and High Energy Physics
Beijing Municipal Science & Technology Commission,Nuclear and High Energy Physics
Beijing Municipal Science & Technology Commission,Nuclear and High Energy Physics
Beijing Municipal Science & Technology Commission,Nuclear and High Energy Physics
BMBWF,Nuclear and High Energy Physics
BMBWF,General Physics and Astronomy
BMBWF,Nuclear and High Energy Physics
BMBWF,Nuclear and High Energy Physics
BMBWF,General Physics and Astronomy
BMBWF,Nuclear and High Energy Physics
BMBWF,General Physics and Astronomy
BMBWF,Nuclear and High Energy Physics
BMBWF,General Physics and Astronomy
BMBWF,Nuclear and High Energy Physics
BMBWF,General Physics and Astronomy
BMBWF,Nuclear and High Energy Physics
BMBWF,Nuclear and High Energy Physics
BMBWF,Nuclear and High Energy Physics
BMBWF,Nuclear and High Energy Physics
Center of Excellence in Clinical Virol-ogy,General Medicine
Center of Excellence in Hepatitis and Liver Cancer,Multidisciplinary
Mahidol University,General Veterinary
Mahidol University,Surgery
Mahidol University,Virology
Mahidol University,General Medicine
Mahidol University,Physiology
Mahidol University,Pharmacology (medical)
Mahidol University,General Materials Science
Mahidol University,General Mathematics
Mahidol University,General Materials Science
Mahidol University,General Veterinary
Mahidol University,General Engineering
Mahidol University,Aquatic Science
DPST,General Physics and Astronomy
DPST,Multidisciplinary
DPST,Multidisciplinary
DPST,General Physics and Astronomy
Ratchadapisek Somphot Fund,General Physics and Astronomy
Royal Government of Thailand,General Physics and Astronomy
Royal Government of Thailand,General Physics and Astronomy
,General Veterinary
,Multidisciplinary
,Multidisciplinary
,Multidisciplinary
,Agronomy and Crop Science
Thai Society of Hematology,General Medicine
Thai Society of Hematology,Hematology
"Chulalongkorn University Office of International Affairs Scholarship for Short-term Research, Thailand",Multidisciplinary
Government Research Fund,Multidisciplinary
NIAID Division of Clinical Research,Pulmonary and Respiratory Medicine
NIAID Intramural Research Program,Pulmonary and Respiratory Medicine
US Department of Health and Human Services,Pulmonary and Respiratory Medicine
US Government,Pulmonary and Respiratory Medicine
US National Cancer Institute,Pulmonary and Respiratory Medicine
US National Cancer Institute,Hematology
US National Cancer Institute,General Medicine
US National Cancer Institute,Hematology
US National Cancer Institute,Hematology
US National Cancer Institute,Multidisciplinary
US National Cancer Institute,Psychiatry and Mental Health
UM,Pulmonary and Respiratory Medicine
UM,Nuclear and High Energy Physics
Medical Research Council,Pulmonary and Respiratory Medicine
Medical Research Council,Multidisciplinary
UK Medical Research Council,Pulmonary and Respiratory Medicine
Danish National Research Foundation,Pulmonary and Respiratory Medicine
Ratchadaphiseksomphot Endowment Fund of Chulalongkorn University,Sociology and Political Science
Walailak University,General Veterinary
Department of Science and Technology-Philippine Council for Health Research and Development,Drug Discovery
Marine Science Institute in the University of the Philippines Diliman,Drug Discovery
Sonia Jacinto of the Institute of Biology,Drug Discovery
St. Luke’s College of Medicine,Drug Discovery
UPD,Drug Discovery
Department of Science and Technology-Philippine Council for Health Research and Development,Drug Discovery
Ratchadapiseksompotch Endowment Fund,Ophthalmology
Rochester Academy of Science,Nuclear and High Energy Physics
Rochester Academy of Science,Nuclear and High Energy Physics
Rochester Academy of Science,Nuclear and High Energy Physics
"Center for Alcohol Studies, Thailand",Marketing
Thai Health Promotion Foundation,Marketing
Center for Alcohol Studies,Marketing
LECMA,Multidisciplinary
Scientific Research–Flanders,Multidisciplinary
Alzheimer Forschung Initiative,Multidisciplinary
Fondation Vaincre Alzheimer,Multidisciplinary
Internationale Stichting Alzheimer Onderzoek,Multidisciplinary
Royal Golden Jubilee (RGJ) Ph.D. Programme,Pharmaceutical Science
Merck & Co,General Medicine
,General Medicine
Development of New Faculty Staff fund and Ratchadapiseksomphot Endowment Fund,Multidisciplinary
New Faculty Staff fund and Ratchadapiseksomphot Endowment Fund 2017,Multidisciplinary
Petroleum and Petrochemical College,General Chemical Engineering
Chulalongkorn Academic,Nuclear and High Energy Physics
Chulalongkorn Academic,Nuclear and High Energy Physics
Chulalongkorn Academic,Nuclear and High Energy Physics
Chulalongkorn Academic,Nuclear and High Energy Physics
European Research Council and Horizon 2020,Nuclear and High Energy Physics
F.R.S.-FNRS,Nuclear and High Energy Physics
Fonds pour la Formation ?,Nuclear and High Energy Physics
Greek NSRF,Nuclear and High Energy Physics
National Priorities Research Program,Nuclear and High Energy Physics
"National Science Centre (Poland), contracts Harmonia",Nuclear and High Energy Physics
New National Excellence Program ?,Nuclear and High Energy Physics
Programa Estatal de Fomento de la Investigaci?n Cient?fica y T?cnica de Excelencia Mar?a de Maeztu,Nuclear and High Energy Physics
Rachadapisek Sompot Fund for,Nuclear and High Energy Physics
FCT,Nuclear and High Energy Physics
CAS,Nuclear and High Energy Physics
CMS,Nuclear and High Energy Physics
Council of Science and Industrial Research,Nuclear and High Energy Physics
MEC,Nuclear and High Energy Physics
"Austrian Federal Ministry of Education, Science and Research",Nuclear and High Energy Physics
CONACYT,Nuclear and High Energy Physics
la Recherche dans l'Industrie et dans l'Agriculture,Nuclear and High Energy Physics
Thailand National Nanotechnology Center,Multidisciplinary
Harrison School of Pharmacy,Health Policy
Auburn University,Health Policy
National Health and Medical Research Council of Australia,Nephrology
National Health and Medical Research Council of Australia,Psychiatry and Mental Health
Tomsk Polytechnic University,Nuclear and High Energy Physics
Niger State Government of Nigeria,Health Policy
Niger State Malaria Elimination Program,Health Policy
National Institute of Diabetes and Digestive and Kidney Diseases,Nephrology
,Nuclear and High Energy Physics
AOARD,General Physics and Astronomy
AOARD,General Materials Science
Asian Office of Aerospace Research and Development,General Physics and Astronomy
Asian Office of Aerospace Research and Development,General Materials Science
Center of Excellence on Petrochemical and Materials Technology,General Chemical Engineering
Center of Excellence on Petrochemical and Materials Technology,Renewable Energy
PETROMAT,General Chemical Engineering
PETROMAT,Renewable Energy
NUS,General Earth and Planetary Sciences
Chulalongkorn Academic into,Nuclear and High Energy Physics
Mrs Ethie Hastuti,General Nursing
Baxter Healthcare Corporation,Nephrology
Baxter Healthcare Corporation,Critical Care and Intensive Care Medicine
Fresenius Medical Care,Nephrology
Canadian Institutes of Health Research,Psychiatry and Mental Health
Khon Kaen University,Multidisciplinary
Khon Kaen University,General Materials Science
"Faculty of Medicine, Chiang Mai University",Multidisciplinary
"Faculty of Medicine, Chiang Mai University",Pediatrics
Faculty of Science,Physiology
"Petroleum and Petrochemical College , Chulalongkorn University",General Chemical Engineering
PETROMAT,General Chemical Engineering
PETROMAT,Renewable Energy
PETROMAT,General Engineering
2Regional Health Promotion Center 9 Nakhon Ratchasima,Geriatrics and Gerontology
3College of Sports Science and Technology,Geriatrics and Gerontology
Department of Health,Geriatrics and Gerontology
"Faculty of Science, Mahidol University",Geriatrics and Gerontology
"Faculty of Science, Mahidol University",Aquatic Science
Kasetsart University,Animal Science and Zoology
Kasetsart University,General Veterinary
Kasetsart University Research and Development Intstitute,Animal Science and Zoology
S.-FNRS,Nuclear and High Energy Physics
Maryland Advanced Research Computing Center,Nuclear and High Energy Physics
U.S. National Institute of Allergy and Infectious Disease,Multidisciplinary
Chulalongkorn University-Veterinary Science Research Fund,Animal Science and Zoology
Veterinary Anatomy Department,Animal Science and Zoology
"Veterinary Diagnostic Laboratory, Faculty of Veterinary Sciences",Animal Science and Zoology
Veterinary Diagnostic Laboratory,Animal Science and Zoology
Department of Ophthalmology,Ophthalmology
Japan International Cooperation Agency,Health Policy
Ratchadaphiseksomphot Endownment Fund,General Psychology
Rachadaphiseksomphot Endowment Fund of Chulalongkorn University,Ophthalmology
Celgene,Hematology
Agricultural Research Development Agency,Environmental Engineering
Agricultural Research Development Agency,Multidisciplinary
Agricultural Research Development Agency,Aquatic Science
,General Materials Science
,Multidisciplinary
,Multidisciplinary
,Multidisciplinary
HIV-NAT,Multidisciplinary
China Natural Science Foundation,Economics and Econometrics
Chulalongkorn Economics Research Center,Economics and Econometrics
ARC,Economics and Econometrics
ARC,Multidisciplinary
Faculty of Economics,Economics and Econometrics
British Council,Multidisciplinary
GlaxoSmithKline Biologicals SA,Pediatrics
"Departments of Microbiology, Faculty of Science, Prince of Songkla University",Aquatic Science
King Mongkut's University of Technology Thonburi,Biotechnology
King Mongkut’s University of Technology North Bangkok,Molecular Medicine
King Mongkut’s University of Technology North Bangkok,Multidisciplinary
Shera Public Company Limited,Materials Science (miscellaneous)
Glass Bridge Company Limited,Materials Science (miscellaneous)
Deutsche Jose Carreras Leukämie Stiftung,Hematology
PTT Innovation Institute,General Physics and Astronomy
Health System Research Institute,Multidisciplinary
Health System Research Institute,General Medicine
Health System Research Institute,Pharmaceutical Science
Health System Research Institute,Pharmacology (medical)
Health System Research Institute,Multidisciplinary
Health System Research Institute,General Medicine
Health System Research Institute,Cardiology and Cardiovascular Medicine
Health System Research Institute,Multidisciplinary
Development and Promotion of Science and Technology,Organic Chemistry
Development and Promotion of Science and Technology,General Physics and Astronomy
Second Century Fund,General Nursing
Second Century Fund,Plant Science
Second Century Fund,Public Health
Second Century Fund,Multidisciplinary
Second Century Fund,Multidisciplinary
Second Century Fund,Analytical Chemistry
Second Century Fund,Analytical Chemistry
Second Century Fund,General Veterinary
Second Century Fund,Multidisciplinary
Second Century Fund,General Energy
Second Century Fund,Multidisciplinary
Second Century Fund,General Materials Science
Second Century Fund,Multidisciplinary
Second Century Fund,Analytical Chemistry
Second Century Fund,General Nursing
Second Century Fund,Multidisciplinary
Second Century Fund,Multidisciplinary
Second Century Fund,Multidisciplinary
Second Century Fund,Multidisciplinary
Second Century Fund,Aquatic Science
Second Century Fund,Multidisciplinary
Second Century Fund,General Veterinary
Second Century Fund,General Dentistry
Second Century Fund,General Nursing
Second Century Fund,General Dentistry
Centre of Excellence on Biodiversity,Insect Science
Ratchadapiseksompoch Fund,General Medicine
ASEAN University Network,General Engineering
Department of Meteorology and Hydrology of Laos,General Engineering
"Department of Meteorology and Hydrology, Ministry of Natural Resources and Environment",General Engineering
Ministry of Energy and Mines of Laos,General Engineering
Chulalongkorn University in Bangkok,Business
SASIN School of Management,Business
Ratchadapisek Somphot Endowment Fund,Dermatology
"Thailand Science, Research, and Innovation",Multidisciplinary
"Thailand Science, Research, and Innovation",Geochemistry and Petrology
"Thailand Science, Research, and Innovation",Renewable Energy
"Thailand Science, Research, and Innovation",Immunology and Allergy
"Thailand Science, Research, and Innovation",Hepatology
"Thailand Science, Research, and Innovation",General Veterinary
"Thailand Science, Research, and Innovation",Multidisciplinary
"Thailand Science, Research, and Innovation",General Agricultural and Biological Sciences
"Thailand Science, Research, and Innovation",General Veterinary
"Thailand Science, Research, and Innovation",Multidisciplinary
"Thailand Science, Research, and Innovation",Multidisciplinary
"Thailand Science, Research, and Innovation",Pharmaceutical Science
"Thailand Science, Research, and Innovation",Automotive Engineering
"Thailand Science, Research, and Innovation",Information Systems
"Thailand Science, Research, and Innovation",Obstetrics and Gynecology
CGIAR,Information Systems
"Faculty of Veterinary Science, Chulalongkorn University",General Veterinary
"Faculty of Veterinary Science, Chulalongkorn University",General Veterinary
"Faculty of Veterinary Science, Chulalongkorn University",General Veterinary
